sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T21:39:47Z,spreads,2026-01-02T21:39:47Z,Rice Owls,-210,31.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T21:39:47Z,spreads,2026-01-02T21:39:47Z,Texas State Bobcats,154,-31.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T21:39:47Z,totals,2026-01-02T21:39:47Z,Over,134,51.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T21:39:47Z,totals,2026-01-02T21:39:47Z,Under,-180,51.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T21:39:32Z,spreads,2026-01-02T21:39:32Z,Rice Owls,100,34.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T21:39:32Z,spreads,2026-01-02T21:39:32Z,Texas State Bobcats,-130,-34.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T21:39:32Z,totals,2026-01-02T21:39:32Z,Over,-154,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T21:39:32Z,totals,2026-01-02T21:39:32Z,Under,120,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,betmgm,BetMGM,2026-01-02T21:40:01Z,spreads,2026-01-02T21:40:01Z,Rice Owls,-180,31.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,betmgm,BetMGM,2026-01-02T21:40:01Z,spreads,2026-01-02T21:40:01Z,Texas State Bobcats,135,-31.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,betmgm,BetMGM,2026-01-02T21:40:01Z,totals,2026-01-02T21:40:01Z,Over,105,53.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,betmgm,BetMGM,2026-01-02T21:40:01Z,totals,2026-01-02T21:40:01Z,Under,-140,53.5,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,h2h,2026-01-02T21:39:33Z,Rice Owls,550,,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,h2h,2026-01-02T21:39:33Z,Texas State Bobcats,-850,,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,spreads,2026-01-02T21:39:33Z,Rice Owls,-110,18.0,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,spreads,2026-01-02T21:39:33Z,Texas State Bobcats,-110,-18.0,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,totals,2026-01-02T21:39:33Z,Over,-115,55.0,20260102214015482212
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:03:18Z,Texas State Bobcats,Rice Owls,bovada,Bovada,2026-01-02T21:39:33Z,totals,2026-01-02T21:39:33Z,Under,-105,55.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,h2h,2026-01-02T21:39:32Z,Cincinnati Bearcats,230,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,h2h,2026-01-02T21:39:32Z,Navy Midshipmen,-315,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,spreads,2026-01-02T21:39:32Z,Cincinnati Bearcats,-120,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,spreads,2026-01-02T21:39:32Z,Navy Midshipmen,-110,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,totals,2026-01-02T21:39:32Z,Over,-110,58.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,draftkings,DraftKings,2026-01-02T21:39:32Z,totals,2026-01-02T21:39:32Z,Under,-120,58.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,h2h,2026-01-02T21:38:52Z,Cincinnati Bearcats,245,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,h2h,2026-01-02T21:38:52Z,Navy Midshipmen,-300,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,spreads,2026-01-02T21:38:52Z,Cincinnati Bearcats,-116,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,spreads,2026-01-02T21:38:52Z,Navy Midshipmen,-104,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,totals,2026-01-02T21:38:52Z,Over,-110,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betonlineag,BetOnline.ag,2026-01-02T21:38:52Z,totals,2026-01-02T21:38:52Z,Under,-110,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,h2h,2026-01-02T21:38:52Z,Cincinnati Bearcats,245,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,h2h,2026-01-02T21:38:52Z,Navy Midshipmen,-300,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,spreads,2026-01-02T21:38:52Z,Cincinnati Bearcats,-112,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,spreads,2026-01-02T21:38:52Z,Navy Midshipmen,100,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,totals,2026-01-02T21:38:52Z,Over,-108,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,lowvig,LowVig.ag,2026-01-02T21:38:52Z,totals,2026-01-02T21:38:52Z,Under,-108,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,h2h,2026-01-02T21:39:47Z,Cincinnati Bearcats,230,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,h2h,2026-01-02T21:39:47Z,Navy Midshipmen,-310,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,spreads,2026-01-02T21:39:47Z,Cincinnati Bearcats,-125,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,spreads,2026-01-02T21:39:47Z,Navy Midshipmen,-106,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,totals,2026-01-02T21:39:47Z,Over,-125,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,fanduel,FanDuel,2026-01-02T21:39:47Z,totals,2026-01-02T21:39:47Z,Under,-106,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,h2h,2026-01-02T21:39:37Z,Cincinnati Bearcats,250,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,h2h,2026-01-02T21:39:37Z,Navy Midshipmen,-300,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,spreads,2026-01-02T21:39:37Z,Cincinnati Bearcats,-115,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,spreads,2026-01-02T21:39:37Z,Navy Midshipmen,-105,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,totals,2026-01-02T21:39:37Z,Over,-110,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betus,BetUS,2026-01-02T21:39:37Z,totals,2026-01-02T21:39:37Z,Under,-110,58.0,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,h2h,2026-01-02T21:40:01Z,Cincinnati Bearcats,225,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,h2h,2026-01-02T21:40:01Z,Navy Midshipmen,-295,,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,spreads,2026-01-02T21:40:01Z,Cincinnati Bearcats,-110,7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,spreads,2026-01-02T21:40:01Z,Navy Midshipmen,-118,-7.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,totals,2026-01-02T21:40:01Z,Over,-125,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,betmgm,BetMGM,2026-01-02T21:40:01Z,totals,2026-01-02T21:40:01Z,Under,-105,57.5,20260102214015482212
NCAAF,americanfootball_ncaaf,5bb624eddcdb91f1604d15e869b67fe6,2026-01-02T21:38:55Z,Cincinnati Bearcats,Navy Midshipmen,bovada,Bovada,2026-01-02T21:39:33Z,h2h,2026-01-02T21:39:33Z,Cincinnati Bearcats,240,,20260102214015482212
