sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Illinois State Redbirds,360,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Montana State Bobcats,-460,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Illinois State Redbirds,-105,10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Montana State Bobcats,-115,-10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Over,-110,57.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,fanduel,FanDuel,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Under,-110,57.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Illinois State Redbirds,345,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Montana State Bobcats,-425,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Illinois State Redbirds,-105,10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Montana State Bobcats,-115,-10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Over,-115,57.0,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Under,-105,57.0,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,h2h,2026-01-05T17:24:48Z,Illinois State Redbirds,345,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,h2h,2026-01-05T17:24:48Z,Montana State Bobcats,-425,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,spreads,2026-01-05T17:24:48Z,Illinois State Redbirds,-105,10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,spreads,2026-01-05T17:24:48Z,Montana State Bobcats,-115,-10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,totals,2026-01-05T17:24:48Z,Over,-115,57.0,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,lowvig,LowVig.ag,2026-01-05T17:24:48Z,totals,2026-01-05T17:24:48Z,Under,-105,57.0,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,h2h,2026-01-05T17:24:50Z,Illinois State Redbirds,340,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,h2h,2026-01-05T17:24:50Z,Montana State Bobcats,-450,,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,spreads,2026-01-05T17:24:50Z,Illinois State Redbirds,-105,10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,spreads,2026-01-05T17:24:50Z,Montana State Bobcats,-115,-10.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,totals,2026-01-05T17:24:50Z,Over,-115,57.5,20260105172543392980
NCAAF,americanfootball_ncaaf,56504eac7bbc625f7316c6bad4354b93,2026-01-06T00:30:00Z,Montana State Bobcats,Illinois State Redbirds,betmgm,BetMGM,2026-01-05T17:24:50Z,totals,2026-01-05T17:24:50Z,Under,-105,57.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,h2h,2026-01-05T17:24:32Z,Miami Hurricanes,-180,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,h2h,2026-01-05T17:24:32Z,Ole Miss Rebels,150,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,spreads,2026-01-05T17:24:32Z,Miami Hurricanes,-108,-3.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,spreads,2026-01-05T17:24:32Z,Ole Miss Rebels,-112,3.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,totals,2026-01-05T17:24:32Z,Over,-115,51.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,draftkings,DraftKings,2026-01-05T17:24:32Z,totals,2026-01-05T17:24:32Z,Under,-105,51.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Miami Hurricanes,-166,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Ole Miss Rebels,138,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Miami Hurricanes,-104,-3.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Ole Miss Rebels,-118,3.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Over,-115,51.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,fanduel,FanDuel,2026-01-05T17:25:18Z,totals,2026-01-05T17:25:18Z,Under,-105,51.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Miami Hurricanes,-172,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,h2h,2026-01-05T17:25:18Z,Ole Miss Rebels,151,,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Miami Hurricanes,-108,-3.5,20260105172543392980
NCAAF,americanfootball_ncaaf,169eeab0821162439c0ecf53db53f018,2026-01-09T00:30:00Z,Ole Miss Rebels,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-05T17:25:18Z,spreads,2026-01-05T17:25:18Z,Ole Miss Rebels,-112,3.5,20260105172543392980
