sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,h2h,2026-01-14T16:34:56Z,Indiana Hoosiers,-340,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,h2h,2026-01-14T16:34:56Z,Miami Hurricanes,275,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,spreads,2026-01-14T16:34:56Z,Indiana Hoosiers,-110,-8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,spreads,2026-01-14T16:34:56Z,Miami Hurricanes,-110,8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,totals,2026-01-14T16:34:56Z,Over,-105,47.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T16:34:56Z,totals,2026-01-14T16:34:56Z,Under,-115,47.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,h2h,2026-01-14T16:34:28Z,Indiana Hoosiers,-350,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,h2h,2026-01-14T16:34:28Z,Miami Hurricanes,280,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,spreads,2026-01-14T16:34:28Z,Indiana Hoosiers,-108,-8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,spreads,2026-01-14T16:34:28Z,Miami Hurricanes,-104,8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,totals,2026-01-14T16:34:28Z,Over,-108,47.0,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T16:34:28Z,totals,2026-01-14T16:34:28Z,Under,-108,47.0,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,h2h,2026-01-14T16:34:13Z,Indiana Hoosiers,-350,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,h2h,2026-01-14T16:34:13Z,Miami Hurricanes,280,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,spreads,2026-01-14T16:34:13Z,Indiana Hoosiers,-110,-8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,spreads,2026-01-14T16:34:13Z,Miami Hurricanes,-110,8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,totals,2026-01-14T16:34:13Z,Over,-110,47.0,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T16:34:13Z,totals,2026-01-14T16:34:13Z,Under,-110,47.0,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,h2h,2026-01-14T16:34:27Z,Indiana Hoosiers,-340,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,h2h,2026-01-14T16:34:27Z,Miami Hurricanes,270,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,spreads,2026-01-14T16:34:27Z,Indiana Hoosiers,-110,-8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,spreads,2026-01-14T16:34:27Z,Miami Hurricanes,-110,8.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,totals,2026-01-14T16:34:27Z,Over,-110,47.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T16:34:27Z,totals,2026-01-14T16:34:27Z,Under,-110,47.5,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T16:34:55Z,h2h,2026-01-14T16:34:55Z,Indiana Hoosiers,-345,,20260114163518568214
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T16:34:55Z,h2h,2026-01-14T16:34:55Z,Miami Hurricanes,270,,20260114163518568214
